status_pedido,nota_fiscal,pedido_id,data_do_pedido,data_de_faturamento,canal_de_vendas,cod_representante,representante,cnpj_pdv,centro_distribuicao,uf_centro_distribuicao,ean,sku_produto,produto,quantidade_solicitada,quantidade_atendida,quantidade_faturada,quantidade_cancelada,preco_unitario_com_imposto,preco_unitario_sem_imposto,desconto_digitado,desconto_aplicado_em_nota,valor_total_solicitado_com_imposto,valor_total_solicitado_sem_imposto,total_atendido_sem_imposto,total_atendido_com_imposto,valor_faturado
Cancelado,,8679687,2026-03-04,,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,23359127000105,PANPHARMA,GO,7896004743042,11207,Pramipexol 0.250 mg Caixa 30 Comprimidos,6,0,0,6,"76,43","24,15","0,00","0,00","458,58","144,91","0,00","0,00","0,00"
Cancelado,,8679687,2026-03-04,,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,23359127000105,PANPHARMA,GO,7896004777184,11922,Tramadol 100 mg Caixa 10 Comprimidos de Liberação Prolongada,4,0,0,4,"78,98","56,68","0,00","0,00","315,92","226,70","0,00","0,00","0,00"
Faturado,357273-R503J,8692253,2026-03-04,2026-03-05,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,08957678000179,MEDCENTRO,TO,7896004703428,10125,Amoxicilina + Clavulanato 250+62.5mg/5ml Frasco 75 ml Pó P/ Susp. Oral + Copo,2,2,2,0,"56,65","21,48","0,00","62,08","113,30","42,96","42,96","113,30","42,96"
Faturado,357273-R503J,8692253,2026-03-04,2026-03-05,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,08957678000179,MEDCENTRO,TO,7896004703404,10126,Amoxicilina + Clavulanato 500+125 mg Caixa 12 Comprimidos Revestidos,4,4,4,0,"83,84","26,59","0,00","68,29","335,36","106,34","106,34","335,36","106,34"
Faturado,357273-R503J,8692253,2026-03-04,2026-03-05,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,08957678000179,MEDCENTRO,TO,7896004747620,11271,Aripiprazol 10 mg Caixa 30 Comprimidos,2,2,2,0,"222,66","79,29","0,00","64,39","445,32","158,58","158,58","445,32","158,58"
Faturado,357273-R503J,8692253,2026-03-04,2026-03-05,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,08957678000179,MEDCENTRO,TO,7896004706368,10233,Clortalidona 25 mg Caixa 60 Comprimidos,2,2,2,0,"28,78","23,87","0,00","17,07","57,56","47,73","47,73","57,56","47,73"
Faturado,357273-R503J,8692253,2026-03-04,2026-03-05,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,08957678000179,MEDCENTRO,TO,7896004711423,10448,Clotrimazol 10 mg/g Bisnaga 35 g Creme Vaginal + 6 Aplicadores,2,2,2,0,"49,34","18,15","0,00","63,21","98,68","36,30","36,30","98,68","36,30"
Faturado,357273-R503J,8692253,2026-03-04,2026-03-05,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,08957678000179,MEDCENTRO,TO,7896004791111,37347,Olmesartana Medoxomila 40 mg Caixa 30 Comprimidos,4,4,4,0,"42,79","15,64","0,00","63,45","171,16","62,56","62,56","171,16","62,56"
Faturado,486294-ZQU37,8704527,2026-03-05,2026-03-05,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,29307577000122,NAZARIA,MA,7896004758268,11485,Budesonida 32 mcg Frasco 120 Doses Suspensão Spray Nasal,4,4,4,0,"22,59","14,14","0,00","37,42","90,36","56,55","56,55","90,36","56,55"
Faturado,486294-ZQU37,8704527,2026-03-05,2026-03-05,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,29307577000122,NAZARIA,MA,7896004727233,10904,Ciclopirox Olamina 10 mg/ml Frasco 15 ml Solução Tópica,8,8,8,0,"27,50","8,23","0,00","70,08","220,00","65,82","65,82","220,00","65,82"
Faturado,486294-ZQU37,8704527,2026-03-05,2026-03-05,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,29307577000122,NAZARIA,MA,7896004715674,10583,Dipirona Monoidratada 50 mg/ml Frasco 100 ml Solução Oral,12,12,12,0,"16,25","6,57","0,00","59,56","195,00","78,86","78,86","195,00","78,86"
Faturado,486294-ZQU37,8704527,2026-03-05,2026-03-05,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,29307577000122,NAZARIA,MA,7896004754154,11386,Metilfenidato 10 mg Caixa 30 Comprimidos,4,4,4,0,"26,83","19,46","0,00","27,47","107,32","77,84","77,84","107,32","77,84"
Faturado,564016-O8LIN,8704536,2026-03-05,2026-03-05,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,29307577000122,PANPHARMA,GO,7896004782690,37063,Apixabana 2.5 mg Caixa 20 Comprimidos Revestidos,2,2,2,0,"65,08","19,31","0,00","72,33","130,16","38,62","38,62","130,16","36,02"
Faturado,564016-O8LIN,8704536,2026-03-05,2026-03-05,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,29307577000122,PANPHARMA,GO,7896004771762,11828,Cilostazol 50 mg Caixa 60 Comprimidos,2,2,2,0,"22,74","16,24","0,00","30,60","45,48","32,47","32,47","45,48","31,56"
Faturado,564016-O8LIN,8704536,2026-03-05,2026-03-05,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,29307577000122,PANPHARMA,GO,7896004701035,10090,Terbinafina 10 mg/g Bisnaga 20 g Creme,10,10,10,0,"32,55","19,05","0,00","43,47","325,50","190,52","190,52","325,50","184,01"
Faturado,41364010-TFTQ4,8704555,2026-03-05,2026-03-05,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,29307577000122,PROFARMA,DF,7896004705873,10244,Atenolol 50 mg Caixa 30 Comprimidos,10,10,10,0,"20,56","3,76","0,00","81,73","205,60","37,56","37,56","205,60","37,56"
